date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:32:26	2415/2415	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20May%202023%2014:28:42%20GMT	https://ifrfund.com/images/js/star.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/js/star.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:26	3053/3053	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jun%202023%2012:18:24%20GMT	https://ifrfund.com/images/logo.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/logo.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:28	22707/22707	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:32:27%20GMT	https://ifrfund.com/about	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/about.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:28	45274/45274	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:32:28%20GMT	https://ifrfund.com/	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/index.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:30	26236/26236	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:32:29%20GMT	https://ifrfund.com/faqs	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/faqs.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:31	22758/22758	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:32:30%20GMT	https://ifrfund.com/contact	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/contact.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:31	21409/21409	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:32:31%20GMT	https://ifrfund.com/login	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/login.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:33	22223/22223	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202024%2010:32:32%20GMT	https://ifrfund.com/register	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/register.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:34	88126/88126	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:32%20GMT	https://ifrfund.com/images/robo.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/robo.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:34	3423/3423	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:28:46%20GMT	https://ifrfund.com/images/video.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/video.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:35	1193/1193	---M--	200	added ('OK')	image/png	date:Mon,%2029%20May%202023%2014:41:36%20GMT	https://ifrfund.com/images/learn.png	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/learn.png	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
